,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Ramon,US,37.7799,-121.978,289.22,51,0,2.06,clear sky
80,Krasnoselkup,RU,65.7,82.4667,250.17,98,100,3.8,overcast clouds
81,Mayumba,GA,-3.432,10.6554,297.34,93,100,1.01,light rain
82,Kokkola,FI,63.8385,23.1307,271.44,95,0,3.09,clear sky
83,Torbay,CA,47.6666,-52.7314,278.01,90,100,10.8,overcast clouds
84,Kysyl-Syr,RU,63.8986,122.7617,229.32,100,74,0.19,broken clouds
85,Komsomolskiy,UZ,40.4272,71.7189,276.55,93,100,1.03,light intensity drizzle
86,Nikolskoye,RU,59.7035,30.7861,263.1,83,100,2.84,overcast clouds
87,Kjollefjord,NO,70.9457,27.3465,275.18,80,75,5.14,broken clouds
88,Saldanha,ZA,-33.0117,17.9442,288.77,74,0,8.18,clear sky
89,Lazaro Cardenas,MX,17.9583,-102.2,298.5,80,95,2.05,overcast clouds
90,Eureka,US,40.8021,-124.1637,283.67,85,0,3.81,clear sky
91,Nyaunglebin,MM,17.95,96.7333,297.23,88,45,0.43,scattered clouds
92,Masuguru,TZ,-11.3667,38.4167,295.3,88,17,1.39,few clouds
93,Darhan,MN,49.4867,105.9228,257.95,79,100,7.15,overcast clouds
94,Dikson,RU,73.5069,80.5464,262.63,98,99,1.74,overcast clouds
95,Chokurdakh,RU,70.6333,147.9167,237.55,99,97,2.5,overcast clouds
96,Itapetininga,BR,-23.5917,-48.0531,290.85,94,64,3.6,broken clouds
97,Kaoma,ZM,-14.7833,24.8,291.32,96,100,1.03,overcast clouds
98,Hami,CN,42.8,93.45,269.42,27,100,8.41,overcast clouds
99,Kuching,MY,1.55,110.3333,301.0,89,20,0.51,few clouds
100,Marawi,PH,7.9986,124.2928,297.46,73,13,1.36,few clouds
101,Aklavik,CA,68.2191,-135.0107,256.34,95,100,5.48,light snow
102,Busselton,AU,-33.65,115.3333,291.25,52,3,4.16,clear sky
103,Turkistan,KZ,43.0,68.0,272.98,50,7,11.92,clear sky
104,Senekal,ZA,-28.3197,27.6208,286.26,88,100,3.68,overcast clouds
105,Alta Floresta,BR,-9.8756,-56.0861,294.76,97,100,0.97,overcast clouds
106,Isangel,VU,-19.55,169.2667,302.21,74,15,2.06,few clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,254.15,84,100,5.14,light snow
108,Cao Bang,VN,22.6667,106.25,295.28,99,100,1.35,overcast clouds
109,Peleduy,RU,59.6289,112.7406,242.18,100,100,1.25,overcast clouds
110,Hermanus,ZA,-34.4187,19.2345,283.04,80,0,5.21,clear sky
111,Arica,CL,-18.475,-70.3042,292.9,77,0,1.54,clear sky
112,Lavrentiya,RU,65.5833,-171.0,259.75,81,1,2.63,clear sky
113,Bonfim,BR,3.0833,-59.95,299.6,74,100,0.84,light rain
114,Georgetown,MY,5.4112,100.3354,301.11,88,20,0.51,few clouds
115,Naze,JP,28.3667,129.4833,294.66,62,77,4.27,broken clouds
116,Cerqueira Cesar,BR,-23.0356,-49.1661,290.57,80,2,4.49,clear sky
117,Kuito,AO,-12.3833,16.9333,288.85,98,100,1.45,moderate rain
118,Hilo,US,19.7297,-155.09,298.29,73,0,3.09,clear sky
119,Portoferraio,IT,42.8115,10.3146,287.09,62,0,11.63,clear sky
120,Makakilo City,US,21.3469,-158.0858,299.33,56,75,4.12,broken clouds
121,Bambous Virieux,MU,-20.3428,57.7575,297.29,73,75,4.12,light rain
122,Thompson,CA,55.7435,-97.8558,268.24,86,75,2.06,light snow
123,East London,ZA,-33.0153,27.9116,290.52,91,91,1.84,light rain
124,Caninde,BR,-4.3589,-39.3117,299.57,64,100,1.7,overcast clouds
125,Antofagasta,CL,-23.65,-70.4,290.75,81,56,1.53,broken clouds
126,Abu Dhabi,AE,24.4667,54.3667,298.69,70,0,1.03,clear sky
127,Vaini,TO,-21.2,-175.2,301.24,83,40,2.57,scattered clouds
128,Yar-Sale,RU,66.8333,70.8333,258.53,93,98,4.23,overcast clouds
129,Zhigalovo,RU,54.8097,105.1578,251.8,92,100,3.64,overcast clouds
130,Pontianak,ID,-0.0333,109.3333,299.14,88,40,2.06,light rain
131,Hamilton,US,39.1834,-84.5333,283.67,65,100,3.09,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,297.32,56,0,2.06,clear sky
133,Las Cruces,US,32.3123,-106.7783,286.82,21,0,11.32,clear sky
134,Gornopravdinsk,RU,60.05,69.9,247.02,96,16,1.85,few clouds
135,Port Hedland,AU,-20.3167,118.5667,302.18,70,6,5.14,clear sky
136,Vostok,RU,46.4856,135.8833,261.01,83,98,1.58,overcast clouds
137,Lata,PT,40.1629,-8.3327,279.22,65,97,1.67,overcast clouds
138,Forio,IT,40.7342,13.8646,287.27,73,100,8.94,overcast clouds
139,Baculin,PH,7.4525,126.5842,301.78,72,26,3.96,scattered clouds
140,Peterhead,GB,57.5058,-1.7981,283.99,93,100,15.66,overcast clouds
141,Santa Maria,BR,-29.6842,-53.8069,296.76,64,0,4.12,clear sky
142,Padang,ID,-0.9492,100.3543,299.18,75,77,0.53,broken clouds
143,Mount Gambier,AU,-37.8333,140.7667,288.54,60,25,5.95,scattered clouds
144,Natchitoches,US,31.7668,-93.1335,289.62,94,40,3.09,scattered clouds
145,Butaritari,KI,3.0707,172.7902,300.45,73,49,4.0,scattered clouds
146,Steamboat Springs,US,40.485,-106.8317,275.89,65,100,0.45,overcast clouds
147,Keetmanshoop,NA,-26.5833,18.1333,293.58,18,0,2.79,clear sky
148,Bredasdorp,ZA,-34.5322,20.0403,286.63,80,20,2.04,few clouds
149,Hualmay,PE,-11.0964,-77.6139,292.84,82,74,3.98,broken clouds
150,Kamiiso,JP,41.8167,140.65,277.36,75,75,4.63,light rain
151,Zihuatanejo,MX,17.6333,-101.55,302.2,70,40,2.57,scattered clouds
152,Ingham,US,42.6,-84.3833,280.12,50,0,0.0,clear sky
153,Salo,IT,45.6086,10.531,280.2,65,9,2.95,clear sky
154,Mahebourg,MU,-20.4081,57.7,297.31,73,75,4.12,broken clouds
155,Kavieng,PG,-2.5744,150.7967,302.43,62,97,2.86,overcast clouds
156,Gallup,US,35.5281,-108.7426,278.16,29,0,3.09,clear sky
157,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,265.51,50,6,1.27,clear sky
158,Qaanaaq,GL,77.484,-69.3632,252.95,88,93,3.37,overcast clouds
159,Kodiak,US,57.79,-152.4072,273.88,51,0,3.09,clear sky
160,Tigil,RU,57.8,158.6667,269.72,79,100,6.36,overcast clouds
161,Longyearbyen,SJ,78.2186,15.6401,265.06,86,40,4.63,scattered clouds
162,Ternate,ID,0.8,127.4,301.98,71,97,1.78,overcast clouds
163,Muisne,EC,0.6,-80.0333,296.29,83,100,3.65,overcast clouds
164,Dmytrivka,UA,45.9717,28.9864,274.48,85,70,4.89,broken clouds
165,Ancud,CL,-41.8697,-73.8203,285.68,74,66,0.81,broken clouds
166,Nioro,GM,13.35,-15.75,298.92,17,100,1.38,overcast clouds
167,Acari,PE,-15.4311,-74.6158,294.86,78,26,1.78,scattered clouds
168,Kandrian,PG,-6.2167,149.55,305.02,59,20,3.69,few clouds
169,Wakkanai,JP,45.4094,141.6739,274.14,64,75,8.75,broken clouds
170,Vao,NC,-22.6667,167.4833,296.7,63,0,4.01,clear sky
171,Mogadishu,SO,2.0371,45.3438,299.5,79,86,4.3,overcast clouds
172,Meulaboh,ID,4.1363,96.1285,298.39,83,92,1.25,overcast clouds
173,Mount Isa,AU,-20.7333,139.5,306.02,40,40,3.09,scattered clouds
174,Beringovskiy,RU,63.05,179.3167,258.14,98,99,2.32,overcast clouds
175,Celestun,MX,20.8667,-90.4,299.35,84,78,4.22,broken clouds
176,Sohagpur,IN,22.7,78.2,285.59,53,0,0.97,clear sky
177,Severo-Kurilsk,RU,50.6789,156.125,276.0,98,100,7.18,light rain
178,Boueni,YT,-12.9025,45.0761,299.14,68,0,2.87,clear sky
179,Shamkhal,RU,43.0596,47.3373,284.14,93,100,5.25,light rain
180,Mkushi,ZM,-13.6202,29.3939,292.59,61,95,2.14,overcast clouds
181,Kaeo,NZ,-35.1,173.7833,293.33,83,100,5.09,light rain
182,Norman Wells,CA,65.282,-126.8329,263.17,85,100,6.69,light snow
183,Lebu,CL,-37.6167,-73.65,287.11,83,0,6.79,clear sky
184,Urumqi,CN,43.801,87.6005,259.68,61,40,4.0,mist
185,Hithadhoo,MV,-0.6,73.0833,300.58,74,100,4.99,overcast clouds
186,Marystown,CA,47.1666,-55.1483,278.19,92,100,14.42,moderate rain
187,Ouesso,CG,1.6136,16.0517,294.65,97,100,0.89,overcast clouds
188,Pahrump,US,36.2083,-115.9839,286.1,24,46,0.45,scattered clouds
189,Joensuu,FI,62.6012,29.7632,264.42,92,100,3.6,overcast clouds
190,Port Alfred,ZA,-33.5906,26.891,288.81,96,57,1.58,broken clouds
191,Waipawa,NZ,-41.4122,175.5153,286.05,91,100,0.59,light rain
192,Porterville,US,36.0652,-119.0168,289.12,39,0,1.54,haze
193,Esperance,AU,-33.8667,121.9,289.46,66,89,5.13,overcast clouds
194,Maxixe,MZ,-23.8597,35.3472,296.28,86,100,1.13,overcast clouds
195,Dicabisagan,PH,17.0818,122.4157,300.84,73,31,2.29,scattered clouds
196,San Cristobal,VE,7.7669,-72.225,295.25,97,98,0.45,light rain
197,La Seyne-Sur-Mer,FR,43.0982,5.8847,287.53,67,1,2.22,clear sky
198,Wairoa,NZ,-39.0333,177.3667,296.23,51,100,1.79,overcast clouds
199,Hovd,MN,48.0056,91.6419,253.34,71,100,4.35,overcast clouds
200,Veraval,IN,20.9,70.3667,295.37,35,0,4.03,clear sky
201,Arman,RU,59.7,150.1667,259.21,91,100,6.65,overcast clouds
202,Touros,BR,-5.1989,-35.4608,299.37,79,100,5.2,overcast clouds
203,Vila Velha,BR,-20.3297,-40.2925,296.12,96,40,2.57,scattered clouds
204,Pueblo,US,38.2545,-104.6091,284.12,27,0,6.17,clear sky
205,Ribeira Grande,PT,38.5167,-28.7,286.91,70,0,3.13,clear sky
206,Burgos,ES,42.3394,-3.7079,275.38,80,0,1.54,clear sky
207,Velten,DE,52.6833,13.1833,280.03,97,17,1.72,few clouds
208,Bilibino,RU,68.0546,166.4372,239.51,100,49,1.27,scattered clouds
209,Narsaq,GL,60.9167,-46.05,272.22,97,100,1.51,snow
210,Baraboo,US,43.4711,-89.7443,280.38,60,0,3.09,clear sky
211,Faanui,PF,-16.4833,-151.75,299.53,72,58,5.45,broken clouds
212,Fortuna,US,40.5982,-124.1573,283.52,88,0,2.57,clear sky
213,Black Forest,US,39.0131,-104.7008,278.09,44,40,7.2,scattered clouds
214,Chacabuco,AR,-34.6417,-60.4739,301.38,27,100,5.17,overcast clouds
215,Chuy,UY,-33.6971,-53.4616,292.37,97,38,4.13,scattered clouds
216,Charters Towers,AU,-20.1,146.2667,302.73,55,86,3.72,light rain
217,Vila,PT,42.0304,-8.1588,279.64,62,100,2.36,overcast clouds
218,Evanston,US,42.0411,-87.6901,282.65,48,75,2.57,broken clouds
219,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,299.97,37,1,2.36,clear sky
220,Nemuro,JP,43.3236,145.575,278.26,63,24,9.14,few clouds
221,Batemans Bay,AU,-35.7167,150.1833,300.92,34,92,4.7,overcast clouds
222,Pacific Grove,US,36.6177,-121.9166,288.21,86,40,1.79,scattered clouds
223,Kaitangata,NZ,-46.2817,169.8464,285.59,55,74,3.33,broken clouds
224,Paamiut,GL,61.994,-49.6678,265.96,84,98,3.06,overcast clouds
225,Kyabram,AU,-36.3167,145.05,293.64,57,100,5.53,overcast clouds
226,Namibe,AO,-15.1961,12.1522,294.82,86,100,2.47,overcast clouds
227,Cortez,US,37.3489,-108.5859,277.98,33,0,3.09,clear sky
228,Port Lincoln,AU,-34.7333,135.8667,288.95,74,99,7.85,overcast clouds
229,Chivolo,CO,10.025,-74.6228,297.0,93,78,2.9,broken clouds
230,Vila Franca Do Campo,PT,37.7167,-25.4333,286.59,74,5,2.26,clear sky
231,Oranjemund,NA,-28.55,16.4333,287.98,93,39,5.62,scattered clouds
232,Cotonou,BJ,6.3654,2.4183,300.14,89,40,4.63,scattered clouds
233,Ilulissat,GL,69.2167,-51.1,255.72,97,70,2.66,broken clouds
234,Hemnesberget,NO,66.2333,13.6333,274.58,79,94,3.48,overcast clouds
235,Iqaluit,CA,63.7506,-68.5145,261.0,66,75,5.66,broken clouds
236,Cervo,ES,43.6702,-7.4101,288.69,59,53,5.38,broken clouds
237,Iroquois Falls,CA,48.7669,-80.6831,274.13,90,77,3.26,broken clouds
238,Inuvik,CA,68.3499,-133.7218,255.63,78,100,3.6,light snow
239,Sile,TR,41.1754,29.6133,281.24,60,100,0.45,overcast clouds
240,Ozernovskiy,RU,51.5,156.5167,275.93,90,100,7.03,light rain
241,Villa Carlos Paz,AR,-31.4241,-64.4978,302.26,41,0,2.23,clear sky
242,Upernavik,GL,72.7868,-56.1549,261.28,90,100,4.59,overcast clouds
243,Cherskiy,RU,68.75,161.3,235.92,100,25,2.17,scattered clouds
244,Taoudenni,ML,22.6783,-3.9836,296.24,23,100,4.48,overcast clouds
245,Hofn,IS,64.2539,-15.2082,278.14,78,13,8.81,few clouds
246,Lompoc,US,34.6391,-120.4579,287.6,84,0,2.57,clear sky
247,Primorsk,UA,46.7348,36.3443,278.96,80,100,3.55,overcast clouds
248,Kurilsk,RU,45.2333,147.8833,276.8,66,91,9.57,overcast clouds
249,Pitimbu,BR,-7.4706,-34.8086,299.48,79,94,4.08,overcast clouds
250,Sitka,US,57.0531,-135.33,275.09,80,40,1.54,light rain
